Rndrng_NPI,Rndrng_Prvdr_Last_Org_Name,Rndrng_Prvdr_First_Name,Rndrng_Prvdr_City,Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_Zip5,Rndrng_Prvdr_Type,HCPCS_Cd,HCPCS_Desc,Place_Of_Srvc,Tot_Benes,Tot_Srvcs,Avg_Sbmtd_Chrg,Avg_Mdcr_Alowd_Amt,Avg_Mdcr_Pymt_Amt,Tot_Sbmtd_Chrg,Tot_Mdcr_Alowd_Amt,Tot_Mdcr_Pymt_Amt,Reimbursement_Rate_Pct,Revenue_Leakage
1447375282,City Of Houston,,Houston,TX,77002,Ambulance Service Provider,A0427,"Ambulance service, advanced life support, emergency transport, level 1 (als 1 - emergency)",F,5612,7255.0,2013.5722977,511.39125844,404.87465196,14608467.02,3710143.58,2937365.6,20.11,11671101.42
1033586136,"Physicians West Houston Surgical Center, Llc",,Houston,TX,77084,Ambulatory Surgical Center,66984,Removal of cataract with insertion of prosthetic lens,F,746,1298.0,10636.0,1081.4163405,856.69319723,13805528.0,1403678.41,1111987.77,8.05,12693540.23
1881679751,Laboratory Corporation Of America,,Houston,TX,77040,Clinical Laboratory,84443,"Blood test, thyroid stimulating hormone (tsh)",O,92195,128881.0,106.96311838,16.450005974,16.450005974,13785513.66,2120093.22,2120093.22,15.38,11665420.44
1689771545,Benz,Matthew,Houston,TX,77030,Ophthalmology,J0178,"Injection, aflibercept, 1 mg",O,388,4898.0,2704.5753655,867.62489996,690.71224786,13247010.14,4249626.76,3383108.59,25.54,9863901.55
1831551266,Inov8 Surgical At Memorial City,,Houston,TX,77043,Ambulatory Surgical Center,27130,Replacement of thigh bone and hip joint with prosthesis,F,126,134.0,98014.101119,9236.9542537,7359.1642537,13133889.55,1237751.87,986128.01,7.51,12147761.54
1881679751,Laboratory Corporation Of America,,Houston,TX,77040,Clinical Laboratory,82306,Vitamin d-3 level,O,47117,59500.0,217.04317294,28.965246891,28.965246891,12914068.79,1723432.19,1723432.19,13.35,11190636.6
1568906212,"Houston Urologic Surgicenter, Llc",,Houston,TX,77027,Ambulatory Surgical Center,52000,Diagnostic exam of bladder and urethra using an endoscope,F,823,912.0,13635.473684,275.749375,212.94167763,12435552.0,251483.43,194202.81,1.56,12241349.19
1063414258,"Boston Scientific Cardiac Diagnostic Services, Llc",,Houston,TX,77038,Independent Diagnostic Testing Facility (IDTF),93243,Heart rhythm analysis and report of continous external ekg over more than 48 hours up to 7 days,O,32615,33945.0,350.0,248.07709177,189.53370482,11880750.0,8420976.88,6433721.61,54.15,5447028.39
1881679751,Laboratory Corporation Of America,,Houston,TX,77040,Clinical Laboratory,80053,"Blood test, comprehensive group of blood chemicals",O,140539,249180.0,46.152280159,10.330120876,10.330120876,11500225.17,2574059.52,2574059.52,22.38,8926165.65
1912923467,Delpassand,Ebrahim,Houston,TX,77042,Nuclear Medicine,A9607,"Lutetium lu 177 vipivotide tetraxetan, therapeutic, 1 millicurie",O,34,21407.0,506.41748026,258.93485682,206.25928762,10840879.0,5543018.48,4415392.57,40.73,6425486.43
1538814678,Cardinal5 Labs Llc,,Houston,TX,77043,Clinical Laboratory,K1034,"Provision of covid-19 test, nonprescription self-administered and self-collected use, fda approved, authorized or cleared, one test count",O,69406,901206.0,12.0,11.76,11.76,10814472.0,10598182.56,10598182.56,98.0,216289.44
1093729402,Harris,Lindsey,Houston,TX,77025,Ophthalmology,J0178,"Injection, aflibercept, 1 mg",O,210,2566.0,4134.0,866.11619252,686.53528449,10607844.0,2222454.15,1761649.54,16.61,8846194.46
1326104613,Quest Diagnostics Clinical Laboratories Inc,,Houston,TX,77072,Clinical Laboratory,85025,"Complete blood cell count (red cells, white blood cell, platelets), automated test and automated differential white blood cell count",O,130763,226439.0,46.771042797,7.6097835179,7.6097835179,10590788.16,1723151.77,1723151.77,16.27,8867636.39
1326104613,Quest Diagnostics Clinical Laboratories Inc,,Houston,TX,77072,Clinical Laboratory,83036,Hemoglobin a1c level,O,82357,123967.0,76.361213791,9.5195028516,9.5195028516,9466270.59,1180104.21,1180104.21,12.47,8286166.38
1053391870,"Northwest Surgery Center, Ltd",,Houston,TX,77090,Ambulatory Surgical Center,66984,Removal of cataract with insertion of prosthetic lens,F,528,850.0,11091.027059,1047.3812353,830.41875294,9427373.0,890274.05,705855.94,7.49,8721517.06
1548368509,Brown,David,Houston,TX,77030,Ophthalmology,J0178,"Injection, aflibercept, 1 mg",O,284,3466.0,2709.0,871.99748413,693.83465378,9389394.0,3022343.28,2404830.91,25.61,6984563.09
1003914151,Wong,Tien,Houston,TX,77030,Ophthalmology,J0178,"Injection, aflibercept, 1 mg",O,312,3440.0,2688.5262849,865.3959157,689.06477035,9248530.42,2976961.95,2370382.81,25.63,6878147.61
1841516895,Shah,Ankoor,Houston,TX,77030,Ophthalmology,J0178,"Injection, aflibercept, 1 mg",O,331,3370.0,2709.0,870.67513947,693.22842136,9129330.0,2934175.22,2336179.78,25.59,6793150.22
1063414258,"Boston Scientific Cardiac Diagnostic Services, Llc",,Houston,TX,77038,Independent Diagnostic Testing Facility (IDTF),93271,Electrocardiogram (ecg) up to 30 days continuous with symptom monitoring and transmission and analysis,O,5983,6025.0,1495.0,188.22855104,136.89619751,9007375.0,1134077.02,824799.59,9.16,8182575.41
1326104613,Quest Diagnostics Clinical Laboratories Inc,,Houston,TX,77072,Clinical Laboratory,36415,Insertion of needle into vein for collection of blood sample,O,166631,364732.0,23.595980446,8.3788868265,8.3788868265,8606209.14,3056048.15,3056048.15,35.51,5550160.99
1881679751,Laboratory Corporation Of America,,Houston,TX,77040,Clinical Laboratory,83036,Hemoglobin a1c level,O,79558,124268.0,69.151014742,9.5021062542,9.5021062542,8593258.3,1180807.74,1180807.74,13.74,7412450.56
1881211803,Banks,Shelita,Houston,TX,77057,Nurse Practitioner,Q4262,"Dual layer impax membrane, per square centimeter",O,11,6098.0,1386.7737619,1364.5853837,1087.2306297,8456546.4,8321241.67,6629932.38,78.4,1826614.02
1326104613,Quest Diagnostics Clinical Laboratories Inc,,Houston,TX,77072,Clinical Laboratory,84439,"Thyroxine (thyroid chemical), free",O,38312,55137.0,149.92910768,8.8384511308,8.8384511308,8266641.21,487325.68,487325.68,5.9,7779315.53
1639339153,Raizen,Yuval,Houston,TX,77030,Hematology-Oncology,J9271,"Injection, pembrolizumab, 1 mg",O,22,36800.0,219.7448913,52.410428261,41.755924457,8086612.0,1928703.76,1536618.02,19.0,6549993.98
1740715333,"Altru Diagnostics, Inc",,Houston,TX,77024,Clinical Laboratory,87150,"Identification of organisms by genetic analysis, amplified probe technique",O,4793,91746.0,87.892558586,34.384245744,34.384245744,8063790.68,3154617.01,3154617.01,39.12,4909173.67
1740715333,"Altru Diagnostics, Inc",,Houston,TX,77024,Clinical Laboratory,87801,"Detection test by nucleic acid for multiple organisms, amplified probe(s) technique",O,8208,45708.0,175.51231032,68.792568697,68.792568697,8022316.68,3144370.73,3144370.73,39.2,4877945.95
1457985251,Ixi Wellness Dallas Llc,,Houston,TX,77092,Clinical Laboratory,K1034,"Provision of covid-19 test, nonprescription self-administered and self-collected use, fda approved, authorized or cleared, one test count",O,44710,645969.0,12.0,11.76,11.76,7751628.0,7596595.44,7596595.44,98.0,155032.56
1235307752,Orion Ambulance Service Llc,,Houston,TX,77008,Ambulance Service Provider,A0428,"Ambulance service, basic life support, non-emergency transport, (bls)",F,4058,5303.0,1425.0,265.40156704,210.78460871,7556775.0,1407424.51,1117790.78,14.79,6438984.22
1700076783,Major,James,Houston,TX,77030,Ophthalmology,J0178,"Injection, aflibercept, 1 mg",O,252,2784.0,2703.161681,868.47734195,691.03591236,7525602.12,2417840.92,1923843.98,25.56,5601758.14
1063414258,"Boston Scientific Cardiac Diagnostic Services, Llc",,Houston,TX,77038,Independent Diagnostic Testing Facility (IDTF),93247,Heart rhythm analysis and report of continous external ekg over 8-15 days,O,20826,21344.0,350.0,311.53579601,243.77437406,7470400.0,6649420.03,5203120.24,69.65,2267279.76
1083644124,Memorial Hermann Surgery Center Southwest Llp,,Houston,TX,77074,Ambulatory Surgical Center,66984,Removal of cataract with insertion of prosthetic lens,F,390,601.0,12255.975042,1038.4591514,826.77805324,7365841.0,624113.95,496893.61,6.75,6868947.39
1972908499,Lopez,Tiffany,Houston,TX,77003,Nurse Practitioner,Q4236,"Carepatch, per square centimeter",O,35,5160.0,1407.3837209,1269.5652209,1011.5192229,7262100.0,6550956.54,5219439.19,71.87,2042660.81
1861772501,Freedom Pharmacy And Medical Supply,,Houston,TX,77081,Pharmacy,K1034,"Provision of covid-19 test, nonprescription self-administered and self-collected use, fda approved, authorized or cleared, one test count",O,68544,596140.0,12.0,11.76,11.76,7153680.0,7010606.4,7010606.4,98.0,143073.6
1619382405,Patel,Sagar,Houston,TX,77030,Ophthalmology,J0178,"Injection, aflibercept, 1 mg",O,299,2640.0,2706.9477424,863.82199621,687.71923106,7146342.04,2280490.07,1815578.77,25.41,5330763.27
1366421927,Martin,Howard,Houston,TX,77092,Pathology,88305,"Pathology examination of tissue using a microscope, intermediate complexity",O,13135,21847.0,315.16134938,64.461927496,49.714880304,6885330.0,1408299.73,1086120.99,15.77,5799209.01
1902036049,"Physicians Ambulatory Surgery Center, Llc",,Houston,TX,77063,Ambulatory Surgical Center,45380,Biopsy of large bowel using a flexible endoscope,F,693,702.0,9564.9031339,447.60675214,373.65223647,6714562.0,314219.94,262303.87,3.91,6452258.13
1881679751,Laboratory Corporation Of America,,Houston,TX,77040,Clinical Laboratory,85025,"Complete blood cell count (red cells, white blood cell, platelets), automated test and automated differential white blood cell count",O,124676,213960.0,31.197677837,7.6011349785,7.6011349785,6675055.15,1626338.84,1626338.84,24.36,5048716.31
1063414258,"Boston Scientific Cardiac Diagnostic Services, Llc",,Houston,TX,77038,Independent Diagnostic Testing Facility (IDTF),93226,Electrocardiogram (ecg) 2-day continuous with report,O,21272,22082.0,300.0,36.610797935,26.396887057,6624600.0,808439.64,582896.06,8.8,6041703.94
1740662147,Baharloo,Babak,Houston,TX,77035,Podiatry,Q4205,"Membrane graft or membrane wrap, per square centimeter",O,36,4372.0,1484.0,1459.8463769,1163.129634,6488048.0,6382448.36,5085202.76,78.38,1402845.24
1881679751,Laboratory Corporation Of America,,Houston,TX,77040,Clinical Laboratory,36415,Insertion of needle into vein for collection of blood sample,O,133593,275278.0,23.38950283,8.3914435225,8.3914435225,6438615.56,2309979.79,2309979.79,35.88,4128635.77
1881837995,Henry,Christopher,Houston,TX,77030,Ophthalmology,J0178,"Injection, aflibercept, 1 mg",O,201,2320.0,2673.9700776,857.974625,682.79302586,6203610.58,1990501.13,1584079.82,25.53,4619530.76
1679585772,"Medical Center Endoscopy, Llc",,Houston,TX,77030,Ambulatory Surgical Center,45380,Biopsy of large bowel using a flexible endoscope,F,1488,1494.0,4133.7650602,463.42879518,366.84474565,6175845.0,692362.62,548066.05,8.87,5627778.95
1578521779,Chen,Eric,Houston,TX,77030,Ophthalmology,J0178,"Injection, aflibercept, 1 mg",O,253,2228.0,2707.9147217,868.79848294,692.01105027,6033234.0,1935683.02,1541800.62,25.56,4491433.38
1841397171,"Summit Asc, Llp",,Houston,TX,77027,Ambulatory Surgical Center,66984,Removal of cataract with insertion of prosthetic lens,F,234,392.0,15092.0,1023.368801,812.79512755,5916064.0,401160.57,318615.69,5.39,5597448.31
1740662147,Baharloo,Babak,Houston,TX,77035,Podiatry,Q4236,"Carepatch, per square centimeter",O,51,4515.0,1277.7613776,1244.3846246,991.46092137,5769092.62,5618396.58,4476446.06,77.59,1292646.56
1467438614,Varghese,Freemu,Houston,TX,77004,Nephrology,J2507,"Injection, pegloticase, 1 mg",O,27,713.0,7996.0,3188.5027349,2540.4219355,5701148.0,2273402.45,1811320.84,31.77,3889827.16
1982644498,Rakkhit,Ronjay,Houston,TX,77024,Hematology-Oncology,J9271,"Injection, pembrolizumab, 1 mg",O,15,24600.0,222.73756098,54.399189837,43.342443496,5479344.0,1338220.07,1066224.11,19.46,4413119.89
1417627308,Mdx Diagnostics Laboratory,,Houston,TX,77036,Clinical Laboratory,87913,Genotype analysis of severe acute respiratory syndrome coronavirus 2 (covid-19) by nucleic acid for identification of mutations in targeted regions,O,7174,14259.0,380.0,252.3,252.3,5418420.0,3597545.7,3597545.7,66.39,1820874.3
1750540613,Lee,Keagan,Houston,TX,77092,Pathology,88305,"Pathology examination of tissue using a microscope, intermediate complexity",O,9563,15456.0,347.6252588,71.797604167,54.909549042,5372896.0,1109703.77,848681.99,15.8,4524214.01
1326104613,Quest Diagnostics Clinical Laboratories Inc,,Houston,TX,77072,Clinical Laboratory,83970,Parathormone (parathyroid hormone) level,O,16168,24111.0,222.19275725,40.45,40.45,5357289.57,975289.95,975289.95,18.2,4381999.62
1558469460,Kim,Rosa,Houston,TX,77030,Ophthalmology,J0178,"Injection, aflibercept, 1 mg",O,176,1960.0,2706.2357347,866.24060204,690.1820051,5304222.04,1697831.58,1352756.73,25.5,3951465.31
1235248089,American Medical Response Of Texas Inc,,Houston,TX,77032,Ambulance Service Provider,A0428,"Ambulance service, basic life support, non-emergency transport, (bls)",F,5703,7634.0,692.97441184,265.52892455,211.07254388,5290166.66,2027047.81,1611327.8,30.46,3678838.86
1972853810,University Of Houston System,,Houston,TX,77204,Ambulatory Surgical Center,66984,Removal of cataract with insertion of prosthetic lens,F,399,683.0,7742.0,1070.5850512,851.65087848,5287786.0,731209.59,581677.55,11.0,4706108.45
1003858127,Davis,John,Houston,TX,77002,Thoracic Surgery,37229,"Removal of plaque in artery of leg, initial vessel",O,57,142.0,36500.0,8034.7476761,6399.6261268,5183000.0,1140934.17,908746.91,17.53,4274253.09
1023631884,Oloso,Siya,Houston,TX,77016,Nurse Practitioner,Q4262,"Dual layer impax membrane, per square centimeter",O,11,4210.0,1225.2272114,1205.6235748,960.57813539,5158206.56,5075675.25,4044033.95,78.4,1114172.61
1134765308,"Gene Street, Llc.",,Houston,TX,77065,Clinical Laboratory,87913,Genotype analysis of severe acute respiratory syndrome coronavirus 2 (covid-19) by nucleic acid for identification of mutations in targeted regions,O,5189,10279.0,500.0,252.3,252.3,5139500.0,2593391.7,2593391.7,50.46,2546108.3
1467946848,"Alphadera Labs,llc",,Houston,TX,77032,Clinical Laboratory,K1034,"Provision of covid-19 test, nonprescription self-administered and self-collected use, fda approved, authorized or cleared, one test count",O,42429,339734.0,14.993474306,11.755127894,11.755127894,5093793.0,3993616.62,3993616.62,78.4,1100176.38
1902036049,"Physicians Ambulatory Surgery Center, Llc",,Houston,TX,77063,Ambulatory Surgical Center,43239,"Biopsy of esophagus, stomach, and/or upper small bowel using a flexible endoscope",F,524,529.0,9559.9603025,290.89240076,233.37873346,5057219.0,153882.08,123457.35,2.44,4933761.65
1316966575,Sedrak,Joseph,Houston,TX,77098,Micrographic Dermatologic Surgery,Q4257,"Relese, per square centimeter",O,61,3050.0,1649.9919607,639.56099016,509.56881311,5032475.48,1950661.02,1554184.88,30.88,3478290.6
1932843836,"Elixir Diagnostics, Llc",,Houston,TX,77090,Clinical Laboratory,K1034,"Provision of covid-19 test, nonprescription self-administered and self-collected use, fda approved, authorized or cleared, one test count",O,2953,98046.0,50.0,11.76,11.76,4902300.0,1153020.96,1153020.96,23.52,3749279.04
1326104613,Quest Diagnostics Clinical Laboratories Inc,,Houston,TX,77072,Clinical Laboratory,84481,"Thyroid hormone, t3 measurement, free",O,14667,21100.0,231.77955782,16.595833175,16.595833175,4890548.67,350172.08,350172.08,7.16,4540376.59
1295387686,Octagos Health Inc.,,Houston,TX,77070,Independent Diagnostic Testing Facility (IDTF),G2066,"Interrogation device evaluation(s), (remote) up to 30 days; implantable cardiovascular physiologic monitor system, implantable loop recorder system, or subcutaneous cardiac rhythm monitor system, remote data acquisition(s), receipt of transmissions and tec",O,4335,25391.0,188.13437832,86.26615218,68.070796739,4776920.0,2190383.87,1728385.6,36.18,3048534.4
1881034064,Gene By Gene Ltd,,Houston,TX,77008,Clinical Laboratory,87636,Detection test by multiplex amplified probe technique for severe acute respiratory syndrome coronavirus 2 (sars-cov-2) (covid-19) and influenza virus types a and b,O,1031,11115.0,427.89,139.78,139.78,4755997.35,1553654.7,1553654.7,32.67,3202342.65
1568906212,"Houston Urologic Surgicenter, Llc",,Houston,TX,77027,Ambulatory Surgical Center,55700,Biopsy of prostate gland,F,337,343.0,13718.979592,822.86265306,654.15425656,4705610.0,282241.89,224374.91,4.77,4481235.09
1568444115,Blum,Philip,Houston,TX,77024,Neurology,J1561,"Injection, immune globulin, (gamunex-c/gammaked), non-lyophilized (e.g., liquid), 500 mg",O,18,42198.0,110.57320252,48.095150955,38.304452818,4665968.0,2029519.18,1616371.3,34.64,3049596.7
1366764771,Hume,John,Houston,TX,77070,Physical Medicine and Rehabilitation,95938,Placement of skin electrodes and measurement of stimulated sites on arms and legs,F,372,382.0,11900.01,45.117225131,35.19447644,4545803.82,17234.78,13444.29,0.3,4532359.53
1548466212,Yalamanchili,Rajesh,Houston,TX,77092,Dermatology,88305,"Pathology examination of tissue using a microscope, intermediate complexity",O,6963,13207.0,337.87347619,63.264003937,47.977214356,4462295.0,835527.7,633635.07,14.2,3828659.93
1316966575,Sedrak,Joseph,Houston,TX,77098,Micrographic Dermatologic Surgery,Q4229,"Cogenex amniotic membrane, per square centimeter",O,103,5460.0,799.72389744,221.9943315,176.87366117,4366492.48,1212089.05,965730.19,22.12,3400762.29
1619255767,Ap Max Incorporated,,Houston,TX,77006,Mass Immunizer Roster Biller,K1034,"Provision of covid-19 test, nonprescription self-administered and self-collected use, fda approved, authorized or cleared, one test count",O,43569,362763.0,12.000099238,11.76,11.76,4353192.0,4266092.88,4266092.88,98.0,87099.12
1326104613,Quest Diagnostics Clinical Laboratories Inc,,Houston,TX,77072,Clinical Laboratory,84153,"Psa (prostate specific antigen) measurement, total",O,21456,28174.0,151.70421807,18.02,18.02,4274114.64,507695.48,507695.48,11.88,3766419.16
1881679751,Laboratory Corporation Of America,,Houston,TX,77040,Clinical Laboratory,84439,"Thyroxine (thyroid chemical), free",O,33834,46537.0,91.594974322,8.8281971335,8.8281971335,4262555.32,410837.81,410837.81,9.64,3851717.51
1316966575,Sedrak,Joseph,Houston,TX,77098,Micrographic Dermatologic Surgery,Q4180,"Revita, per square centimeter",O,48,2628.0,1617.6776408,639.05563546,509.16606164,4251256.84,1679438.21,1338088.41,31.48,2913168.43
1003858127,Davis,John,Houston,TX,77002,Thoracic Surgery,37225,Removal of plaque in arteries of leg,O,55,124.0,33790.0,4357.4847581,3471.8165323,4189960.0,540328.11,430505.25,10.27,3759454.75
1407810377,Duchman,Stanley,Houston,TX,77030,Interventional Cardiology,78431,Nuclear medicine studies of blood flow in heart muscle at rest and with stress with concurrent ct scan,O,513,519.0,8000.0,2447.6238343,1948.894817,4152000.0,1270316.77,1011476.41,24.36,3140523.59
1902036049,"Physicians Ambulatory Surgery Center, Llc",,Houston,TX,77063,Ambulatory Surgical Center,45385,Removal of polyps or growths of large bowel using an endoscope with mechanical snare,F,429,434.0,9566.6497696,547.72147465,460.91458525,4151926.0,237711.12,200036.93,4.82,3951889.07
1326104613,Quest Diagnostics Clinical Laboratories Inc,,Houston,TX,77072,Clinical Laboratory,81001,"Manual urinalysis test with examination using microscope, automated",O,57005,84629.0,48.427320304,3.1095488544,3.1095488544,4098355.69,263158.01,263158.01,6.42,3835197.68
1750443289,Kaplan,Michael,Houston,TX,77098,Otolaryngology,31298,Dilation of sphenoid and frontal nasal sinus using an endoscope,O,134,136.0,30000.0,4764.3721324,3796.8791912,4080000.0,647954.61,516375.57,12.66,3563624.43
1730330176,Thomas,Melissa,Houston,TX,77030,Neurology,95938,Placement of skin electrodes and measurement of stimulated sites on arms and legs,F,485,488.0,8295.2868852,44.61125,35.544692623,4048100.0,21770.29,17345.81,0.43,4030754.19
1568444115,Blum,Philip,Houston,TX,77024,Neurology,J1568,"Injection, immune globulin, (octagam), intravenous, non-lyophilized (e.g., liquid), 500 mg",O,14,19800.0,200.0,41.849640909,33.32894798,3960000.0,828622.89,659913.17,16.66,3300086.83
1366764771,Hume,John,Houston,TX,77070,Physical Medicine and Rehabilitation,95955,Measurement of brain wave activity (eeg) outside the brain during surgery,F,354,366.0,10795.0,52.918360656,41.809480874,3950970.0,19368.12,15302.27,0.39,3935667.73
1598096802,Memorial Hermann Surgery Center Memorial City Llc,,Houston,TX,77043,Ambulatory Surgical Center,66984,Removal of cataract with insertion of prosthetic lens,F,239,364.0,10795.78022,1056.4244505,840.25642857,3929664.0,384538.5,305853.34,7.78,3623810.66
1881679751,Laboratory Corporation Of America,,Houston,TX,77040,Clinical Laboratory,82570,Creatinine level to test for kidney function or muscle injury,O,40979,59464.0,65.720817301,5.0709202206,5.0709202206,3908022.68,301537.2,301537.2,7.72,3606485.48
1942395496,Hassan,Laila,Houston,TX,77089,Rheumatology,J1602,"Injection, golimumab, 1 mg, for intravenous use",O,54,48690.0,80.0,13.295195523,10.534935716,3895200.0,647343.07,512946.02,13.17,3382253.98
1881679751,Laboratory Corporation Of America,,Houston,TX,77040,Clinical Laboratory,82043,Urine microalbumin (protein) level,O,37224,48295.0,80.134316389,5.6490032094,5.6490032094,3870086.81,272818.61,272818.61,7.05,3597268.2
1558717827,"Concord Life Sciences, Llc",,Houston,TX,77058,Clinical Laboratory,87798,"Detection test by nucleic acid for organism, amplified probe technique",O,6048,105310.0,36.16346026,34.352155541,34.352155541,3808374.0,3617625.5,3617625.5,94.99,190748.5
1326104613,Quest Diagnostics Clinical Laboratories Inc,,Houston,TX,77072,Clinical Laboratory,82607,Cyanocobalamin (vitamin b-12) level,O,25655,30333.0,124.116967,14.78,14.78,3764839.96,448321.74,448321.74,11.91,3316518.22
1326104613,Quest Diagnostics Clinical Laboratories Inc,,Houston,TX,77072,Clinical Laboratory,82570,Creatinine level to test for kidney function or muscle injury,O,42752,62378.0,59.83545609,5.0799299432,5.0799299432,3732416.08,316875.87,316875.87,8.49,3415540.21
1134515752,Bender,Nicole,Houston,TX,77092,Dermatology,88305,"Pathology examination of tissue using a microscope, intermediate complexity",O,6437,10971.0,336.82116489,62.41352019,47.879071188,3695265.0,684738.73,525281.29,14.21,3169983.71
1881679751,Laboratory Corporation Of America,,Houston,TX,77040,Clinical Laboratory,83970,Parathormone (parathyroid hormone) level,O,17242,22689.0,162.64165543,40.384835824,40.384835824,3690176.52,916291.54,916291.54,24.83,2773884.98
1225091630,"Gramercy Surgery Center, Ltd",,Houston,TX,77025,Ambulatory Surgical Center,66984,Removal of cataract with insertion of prosthetic lens,F,149,208.0,17623.317308,1044.1483173,827.28201923,3665650.0,217182.85,172074.66,4.69,3493575.34
1811253784,Swaby,Michael,Houston,TX,77030,Pathology,88305,"Pathology examination of tissue using a microscope, intermediate complexity",O,5869,10332.0,353.98308169,69.148276229,53.11740031,3657353.2,714439.99,548808.98,15.01,3108544.22
1548368509,Brown,David,Houston,TX,77030,Ophthalmology,J3490,Unclassified drugs,O,115,465.0,7842.7032258,2521.2135269,2008.5307742,3646857.0,1172364.29,933966.81,25.61,2712890.19
1295387686,Octagos Health Inc.,,Houston,TX,77070,Independent Diagnostic Testing Facility (IDTF),93296,"Evaluation of single, dual, multiple lead or leadless pacemaker system or implantable defibrillator system, remote up to 90 days",O,9157,24107.0,150.78939727,22.754865807,17.133818808,3635080.0,548551.55,413044.97,11.36,3222035.03
1548368509,Brown,David,Houston,TX,77030,Ophthalmology,J3590,Unclassified biologics,O,174,454.0,7686.5617181,2550.9381718,2032.4369604,3489699.02,1158125.93,922726.38,26.44,2566972.64
